2,78,94,90,54,1,2,34,183
41,2,31,42,40,51,2,80,53
69,84,23,75,93,88,11,2,38
0,49,26,34,50,91,2,3,63
54,70,4,19,76,41,2,39,148
66,28,36,65,65,40,61,2,3
34,91,2,3,66,88,29,24,162
88,1,99,52,23,31,2,36,22
8,86,51,71,2,35,63,7,117
0,31,2,39,55,3,35,13,95
9,9,8,71,2,38,40,76,57
75,80,11,61,2,39,63,65,181
24,51,2,35,90,35,93,65,110
84,52,57,93,41,2,39,32,169
84,44,73,41,71,2,37,2,35
7,7,71,2,32,85,70,57,149
39,11,4,22,31,71,2,36,170
12,70,19,65,80,51,2,32,143
76,15,10,86,31,2,39,41,155
94,17,37,61,2,39,13,8,60
